run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-13-20200428-16:52:59-13092,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,datetime,20200428-16:53:00,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,measurement,,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,network,Network,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,processid,13097,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,repetition,14,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,replication,#14,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,runnumber,14,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,runattr,,,seedset,14,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-14-20200428-16:53:00-13097,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,datetime,20200428-16:53:00,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,measurement,,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,network,Network,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,processid,13102,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,repetition,15,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,replication,#15,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,runnumber,15,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,runattr,,,seedset,15,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-15-20200428-16:53:00-13102,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,datetime,20200428-16:53:00,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,measurement,,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,network,Network,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,processid,13107,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,repetition,16,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,replication,#16,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,runnumber,16,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,runattr,,,seedset,16,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-16-20200428-16:53:00-13107,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,datetime,20200428-16:53:00,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,measurement,,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,network,Network,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,processid,13112,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,repetition,17,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,replication,#17,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,resultdir,results,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,runnumber,17,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,runattr,,,seedset,17,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.source.interArrivalTime,exponential(1s),,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.source.jobRelativeDeadline,"uniform(3.0s, 7.0s)",,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.router.queueNumber,4,,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.server.serviceTime,exponential(0.25s),,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.router.routingAlgorithm,"""pssRandom""",,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.server.fetchingAlgorithm,"""exhaustiveService""",,,
n48lambda4H2K3mu2-17-20200428-16:53:00-13112,param,,,Network.server.checkJobDeadline,true,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,configname,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,datetime,20200428-16:53:00,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,experiment,n48lambda4H2K3mu2,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,inifile,omnetpp.ini,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,iterationvars,,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,iterationvarsf,,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,measurement,,,,
n48lambda4H2K3mu2-18-20200428-16:53:00-13117,runattr,,,network,Network,,,
